subroutine,scope,deliver,fetch,restart,hash,pass,pipe,synth,purge,lookup,abandon,retry,ok,fail
*vcl_deliver*,client,x, ,x, , , ,x, , , , , , 
*vcl_hash*,client, , , , , , , , ,x, , , , 
*vcl_hit*,client,x,x,x, ,x, ,x, , , , , , 
*vcl_miss*,client, ,x,x, ,x, ,x, , , , , , 
*vcl_pass*,client, ,x,x, , , ,x, , , , , , 
*vcl_pipe*,client, , , , , ,x,x, , , , , , 
*vcl_purge*,client, , ,x, ,, ,x, , , , , , 
*vcl_recv*,client, , , ,x,x,x,x,x, , , , , 
*vcl_synth*,client,x, ,x, , , , , , , , , , 
*vcl_backend_error*,backend,x, , , , , , , , , ,x, , 
*vcl_backend_fetch*,backend, ,x, , , , , , , ,x,, , 
*vcl_backend_response*,backend,x, , , , , , , , ,x,x, , 
*vcl_init*,vcl.load, , , , , , , , , , , ,x,x
*vcl_fini*,vcl.discard, , , , , , , , , , , ,x, 